sku,qty,ref,val
A-1095,8,D1 D2 D3 D4 D5 D6 D7 D8 ,BAT46
A-157,1,D9 ,1N4148
A-2563,4,J1 J2 J3 J4 ,mono_jack_3.5mm
A-2200,4,R1 R2 R3 R4 ,1K
A-2246,1,R5 ,220
A-2248,1,R6 ,100K
A-2247,1,R7 ,470
A-2470,1,U1 ,MCP3008
